08:11:16 | 200 |            0s | 127.0.0.1 | GET | / | -
08:11:16 | 404 |            0s | 127.0.0.1 | GET | /favicon.ico | Cannot GET /favicon.ico
08:59:52 | 401 |    122.1417ms | 127.0.0.1 | POST | /api/auth/login | -
09:02:11 | 200 |      1.0754ms | 127.0.0.1 | GET | / | -
09:04:24 | 401 |      6.7921ms | 127.0.0.1 | POST | /api/auth/login | -
09:04:36 | 401 |      1.0647ms | 127.0.0.1 | POST | /api/auth/login | -
09:04:41 | 401 |      2.2361ms | 127.0.0.1 | POST | /api/auth/login | -
09:30:14 | 401 |     180.774ms | 127.0.0.1 | POST | /api/auth/login | -
09:31:06 | 401 |     91.2423ms | 127.0.0.1 | POST | /api/auth/login | -
09:31:50 | 401 |    104.0832ms | 127.0.0.1 | POST | /api/auth/login | -
09:45:05 | 401 |    285.1134ms | 127.0.0.1 | POST | /api/auth/login | -
09:49:56 | 201 |    207.5092ms | 127.0.0.1 | POST | /api/auth/register | -
09:58:18 | 400 |            0s | 127.0.0.1 | POST | /api/auth/register | -
09:59:39 | 400 |       515.3µs | 127.0.0.1 | POST | /api/auth/register | -
10:01:05 | 201 |    192.1077ms | 127.0.0.1 | POST | /api/auth/register | -
10:02:22 | 200 |    119.9888ms | 127.0.0.1 | POST | /api/auth/login | -
10:41:18 | 201 |    229.8691ms | 127.0.0.1 | POST | /api/auth/register | -
10:43:19 | 201 |     151.114ms | 127.0.0.1 | POST | /api/auth/register | -
10:49:23 | 201 |    217.4601ms | 127.0.0.1 | POST | /api/auth/register | -
10:50:41 | 200 |    248.4111ms | 127.0.0.1 | POST | /api/auth/login | -
10:51:04 | 200 |    164.0288ms | 127.0.0.1 | POST | /api/auth/login | -
17:39:08 | 200 |    176.4397ms | 127.0.0.1 | POST | /api/auth/login | -
17:52:44 | 200 |    187.6518ms | 127.0.0.1 | POST | /api/auth/login | -
17:53:06 | 200 |    341.7709ms | 127.0.0.1 | POST | /api/auth/login | -
18:11:48 | 401 |     12.6112ms | 127.0.0.1 | POST | /api/admin/users%20 | -
18:12:01 | 200 |    191.1424ms | 127.0.0.1 | POST | /api/auth/login | -
18:12:32 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users%20 | -
21:46:33 | 200 |    154.5648ms | 127.0.0.1 | POST | /api/auth/login | -
21:48:16 | 401 |      2.2052ms | 127.0.0.1 | POST | /api/admin/users%20 | -
21:48:41 | 200 |    151.2352ms | 127.0.0.1 | POST | /api/auth/login | -
21:49:29 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users%20 | -
21:50:11 | 404 |      5.8774ms | 127.0.0.1 | POST | /api/admin/users%20 | Cannot POST /api/admin/users%20
21:50:27 | 400 |      1.9949ms | 127.0.0.1 | POST | /api/admin/users | -
21:56:47 | 200 |    125.8329ms | 127.0.0.1 | POST | /api/auth/login | -
22:00:19 | 400 |       5.569ms | 127.0.0.1 | POST | /api/admin/users | -
22:00:33 | 400 |      9.1808ms | 127.0.0.1 | POST | /api/admin/users | -
22:01:09 | 201 |    164.0059ms | 127.0.0.1 | POST | /api/admin/users | -
22:12:54 | 404 |      2.7063ms | 127.0.0.1 | PUT | /api/admin/users:6c6a04e9-8fef-4e45-8154-dbd36ec04d31 | Cannot PUT /api/admin/users:6c6a04e9-8fef-4e45-8154-dbd36ec04d31
22:13:28 | 404 |      1.4855ms | 127.0.0.1 | PUT | /api/admin/users:6c6a04e9-8fef-4e45-8154-dbd36ec04d31 | Cannot PUT /api/admin/users:6c6a04e9-8fef-4e45-8154-dbd36ec04d31
22:15:43 | 200 |     29.0066ms | 127.0.0.1 | PUT | /api/admin/users/6c6a04e9-8fef-4e45-8154-dbd36ec04d31 | -
22:18:10 | 404 |      4.9208ms | 127.0.0.1 | DELETE | /api/admin/users76bdf9db-1497-4d0e-99a5-20dd68d18e6d | Cannot DELETE /api/admin/users76bdf9db-1497-4d0e-99a5-20dd68d18e6d
22:18:23 | 200 |      8.2643ms | 127.0.0.1 | DELETE | /api/admin/users/76bdf9db-1497-4d0e-99a5-20dd68d18e6d | -
22:18:46 | 200 |      6.4529ms | 127.0.0.1 | DELETE | /api/admin/users/73b41ce7-a1b4-452d-8449-258dba78c283 | -
22:19:18 | 400 |      2.9136ms | 127.0.0.1 | DELETE | /api/admin/users/76bdf9db-1497-4d0e-99a5-20dd68d18e6d | -
22:19:37 | 400 |      7.1476ms | 127.0.0.1 | DELETE | /api/admin/users/76bdf9db-1497-4d0e-99a5-20dd68d18e6d | -
22:19:52 | 200 |      7.7903ms | 127.0.0.1 | DELETE | /api/admin/users/6c6a04e9-8fef-4e45-8154-dbd36ec04d31 | -
22:36:07 | 201 |    243.3352ms | 127.0.0.1 | POST | /api/admin/users | -
22:37:37 | 400 |      5.6312ms | 127.0.0.1 | PUT | /api/admin/users/6c6a04e9-8fef-4e45-8154-dbd36ec04d31 | -
22:37:54 | 200 |      9.8765ms | 127.0.0.1 | PUT | /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8 | -
22:43:39 | 400 |       5.683ms | 127.0.0.1 | PUT | /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8 | -
22:43:46 | 200 |      5.6268ms | 127.0.0.1 | GET | /api/admin/users/85ee1dc9-9dd6-4d36-b3b3-73734bb3e9a8 | -
23:56:01 | 404 |     68.3061ms | 127.0.0.1 | POST | /api/admin/students | Cannot POST /api/admin/students
00:02:34 | 401 |      4.1369ms | 127.0.0.1 | POST | /api/auth/login | -
00:02:48 | 401 |       558.2µs | 127.0.0.1 | POST | /api/auth/login | -
00:03:38 | 401 |       589.7µs | 127.0.0.1 | POST | /api/auth/login | -
00:03:55 | 200 |     77.0464ms | 127.0.0.1 | POST | /api/auth/login | -
00:04:10 | 401 |       505.1µs | 127.0.0.1 | POST | /api/auth/login | -
00:04:18 | 401 |       723.2µs | 127.0.0.1 | POST | /api/auth/login | -
00:04:27 | 401 |     10.1552ms | 127.0.0.1 | POST | /api/auth/login | -
00:05:27 | 401 |     75.2801ms | 127.0.0.1 | POST | /api/auth/login | -
00:05:50 | 401 |      74.023ms | 127.0.0.1 | POST | /api/auth/login | -
00:06:32 | 401 |     73.7507ms | 127.0.0.1 | POST | /api/auth/login | -
